store_id,sku,product_name,price,date
1,C6865848-C836-D4BF-A8D4-4B7F83752584,sed,22,10-12-2022
1,4DAB5899-E389-EDAA-2349-566968ECCD69,rutrum.,35,11-12-2022
1,34CDD26A-EA76-A05D-B37C-3BB247924D4A,"iaculis quis,",20,11-12-2022
1,69BD6ED8-AB20-C97D-DA18-B48161404A83,"ac, eleifend",25,11-12-2022
1,42829351-E4C5-5D46-A6AA-1A7B634724B1,"sodales purus,",30,10-12-2022
1,CCA75502-B779-8C4E-670B-FF65A27E993D,Nunc,36,11-12-2022
1,F9A322A5-91DD-4537-554D-276D53BDEB94,risus. Donec,35,11-12-2022
1,1CEDA3D6-159F-A921-4761-9BD31E21B63C,"montes,",24,10-12-2022
1,CAE1A440-3B76-4397-E2C5-52CE1D2B9A21,"varius et,",30,11-12-2022
1,FB4982E3-1455-D4AC-2A9D-769443E75880,sagittis,26,10-12-2022
1,5CA9D26F-AFCB-66C6-2347-B4D6D899A1C0,risus.,30,10-12-2022
1,A4BAB028-2BE3-D553-D976-4D3389D509EC,nunc,29,11-12-2022
1,EFC6B035-6EEC-195B-7014-B9BE505E0AC4,consequat,29,10-12-2022
1,38DB848C-6E82-01E9-11C6-379423C1D635,aliquam arcu.,24,11-12-2022
1,12D4B20C-D548-3B5B-B514-466D3C858621,"id,",36,11-12-2022
1,29907548-E7B8-E9B9-768B-E46DAC457D98,a mi,20,10-12-2022
1,74C89B65-6AC3-21A2-1564-00A4B32AA93B,Cum sociis,39,11-12-2022
1,8C18DD05-5AA8-A244-3194-C695437E8DEA,odio,38,11-12-2022
1,562EC2F6-E033-E630-7EB6-43864BEF20AC,Quisque tincidunt,36,11-12-2022
1,15718BA3-6722-8BAD-493B-CE53FDA2B34D,ligula eu,35,11-12-2022
1,275AD674-A3A1-5D1A-47D8-2596442FED3F,"elementum,",33,11-12-2022
1,878C89C3-A317-4473-4335-AEAB51D875E5,aliquet magna,25,11-12-2022
1,418BAEAE-58BF-C6CE-43E3-134D8D08A37B,"risus, at",22,10-12-2022
1,F8BE2B36-673A-0AC3-5663-C79AA3EE4147,"neque tellus,",36,10-12-2022
1,349BD41E-4D1B-4AD1-A269-EFEF3529E202,Duis,38,11-12-2022
1,5A6F1B0C-844B-5B0A-2C2D-7E8635064CE1,Praesent eu,35,11-12-2022
1,AB05B222-8DA5-45F1-1CE1-6C2484160163,Sed,23,10-12-2022
1,200E0453-E1BE-BDAF-6B3A-5DE6747CC22E,"orci,",36,11-12-2022
1,A098811C-2D2A-7A7B-BD18-63C823EEB8EB,tempus,32,11-12-2022
1,AC034D62-7741-D9BF-9B42-A84232E4162C,aliquet,40,11-12-2022
1,696398D9-9719-8BC7-64EF-D13F6298CA05,molestie tortor,25,11-12-2022
1,C3A33553-3D36-7FEC-AEB6-9DBCD9F775CE,ligula. Nullam,35,10-12-2022
1,CAA0DD94-8EA4-3C5D-15C2-A1A851A7BA95,nisi,30,11-12-2022
1,452FD4D2-FEB5-C532-A3A5-1E7C3DD7EA5B,nibh vulputate,23,11-12-2022
1,6E0F93CE-55D1-5FD7-29E9-B8A6BDE5512E,ac mattis,35,11-12-2022
1,4730E8A1-1C70-81DB-54C2-C72C704433E1,dui. Fusce,23,11-12-2022
1,3DA7CA38-AE28-4AC7-9169-69BBDAB24C4B,urna,34,11-12-2022
